image,truth,fast_plate_ocr,fast_ok,fast_sim,easyocr,easy_ok,easy_sim,rapidocr,rapid_ok,rapid_sim,paddleocr,paddle_ok,paddle_sim
img42.jpg,MBB1363,MBB1363,1,1,MBB1363,1,1,MBB1363,1,1,MBB1363,1,1
img43.jpg,DDM8766,DDM8766,1,1,DDM8766,1,1,DDM88766,0,0.9333,G98WOO,0,0.1538
img44.jpg,WFJ7426,WFJ7426,1,1,WFJ7426,1,1,WFJ7426,1,1,WFJ7426,1,1
img45.jpg,MCB2206,MC2203,0,0.7692,92203,0,0.4615,,0,0,U002305,0,0.1429
img46.jpg,VG9861,VG9861,1,1,VG9861,1,1,VG9861,1,1,NG986,0,0.7273
img47.jpg,WG8892,WG8892,1,1,WG8892,1,1,WG8892,1,1,WG8892,1,1
img48.jpg,NF850,NF850,1,1,NF850,1,1,NF850,1,1,NF850,1,1
img49.jpg,PKT1771,PKT1771,1,1,RXTM,0,0.1818,PKT1771,1,1,,0,0
img50.jpg,VDL399,VDL399,1,1,VDL399,1,1,VDL399,1,1,VDL399,1,1
img51.jpg,BKS10,BKS10,1,1,BKSO,0,0.6667,BKS10,1,1,3LSX8,0,0.2
img52.jpg,W356T,W356T,1,1,TW356,0,0.8,W356T,1,1,356W,0,0.6667
img53.jpg,W8171D,W8111DD,0,0.7692,ILBV1D,0,0.3333,W8171D,1,1,8N,0,0.25
img54.jpg,WTE8832,WTE8832,1,1,WTE8832,1,1,WTE888832,0,0.875,WTE8832,1,1
img55.jpg,WTE8832,WTE8832,1,1,8832,0,0.7273,SITE,0,0.3636,WTE8832,1,1
img56.jpg,WJD8853,WJD8853,1,1,WUD8053,0,0.7143,WJD8853,1,1,WJD8853,1,1
img57.jpg,PJK9,PJK9,1,1,PUK9,0,0.75,PJK9,1,1,PJK9,1,1
img58.jpg,BMF9623,BMF9623,1,1,BMF9623,1,1,BMF9623,1,1,BMF9623,1,1
img59.jpg,JFE2116,JFE2116,1,1,JFE2116,1,1,JFEE2116,0,0.9333,JFE2116,1,1
img60.jpg,DD2163,DD2613,0,0.8333,DD2613,0,0.8333,DD2613,0,0.8333,DD2613,0,0.8333
img61.jpg,DDY2613,DDY2613,1,1,DDY2613,1,1,DDY22613,0,0.9333,DDY2613,1,1
img62.jpg,VFF430,VFF430,1,1,VFF430,1,1,,0,0,VFF430,1,1
img63.jpg,PRA732,PRA732,1,1,PRA732,1,1,PRA732,1,1,PRAT37,0,0.6667
img64.jpg,CER34,CER34,1,1,CER34,1,1,CER34,1,1,CERA,0,0.6667
img65.jpg,WUS928,WUS928,1,1,928,0,0.6667,,0,0,MS,0,0.25
img66.jpg,RBA633,RBA633,1,1,RBA639,0,0.8333,RBA633,1,1,EE9RBA,0,0.5
img67.jpg,JED196,JED196,1,1,JED196,1,1,JED196,1,1,JED196,1,1
img68.jpg,DEH930,DEH930,1,1,DEH930,1,1,DEH930,1,1,0E6HE0,0,0.1667
img69.jpg,BQS9537,BQS9537,1,1,BOS9537,0,0.8571,BQS9537,1,1,B0S663T,0,0.4286
img70.jpg,WTX6211,WTX6211,1,1,WTX6211,1,1,,0,0,WTX6211,1,1
img71.jpg,VNN121,VNN121,1,1,VNN1219,0,0.9231,VNN121,1,1,VNN121,1,1
img72.jpg,TDF2061,TDF2061,1,1,TDF2061,1,1,,0,0,TDF2061,1,1
img73.jpg,VMC4416,VMC4416,1,1,VHC4416,0,0.8571,VMC44166,0,0.9333,VMC4416,1,1
img74.jpg,MDC806,NDC806,0,0.8333,HDC006,0,0.6667,HDC806,0,0.8333,HOC806,0,0.6667
img75.jpg,PGK6364,PGK636A,0,0.8571,POKK6364,0,0.8,PGK6364,1,1,PGK6364,1,1
img76.jpg,WKL5226,WKL5226,1,1,WKL5226,1,1,WKL5226,1,1,WKL5226,1,1
img77.jpg,VKC2865,VKC2865,1,1,VKC2865,1,1,VKC2865,1,1,VKC2865,1,1
img78.jpg,VHN6593,VHN6593,1,1,VHN6593,1,1,VHN6593,1,1,VHN6593,1,1
img79.jpg,BLX8185,BLX8185,1,1,BLX8185,1,1,BLX8185,1,1,8185BLX,0,0.5714
img80.jpg,MBM5693,MBM5696,0,0.8571,MBM5696,0,0.8571,698,0,0.4,ABM5696,0,0.7143
img81.jpg,BCX1775,BCX1775,1,1,BCX1775,1,1,BCX1775,1,1,HA,0,0
img82.jpg,VBL370,VP2370,0,0.6667,VBL370,1,1,VBL370,1,1,VBL370,1,1
img83.jpg,SWJ428,SWJ428,1,1,SHJ428,0,0.8333,SWJ428,1,1,SWJ428,1,1
img84.jpg,VD3084,VD3084,1,1,VD3084,1,1,3084VD,0,0.6667,VD3084,1,1
img85.jpg,PPP3064,PPP3064,1,1,PPP3064,1,1,PPP3064,1,1,PPP3064,1,1
img86.jpg,RAC1225,RAC1225,1,1,RAC1225,1,1,RAC1225,1,1,RAC1225,1,1
img87.jpg,PRR3633,PRR3633,1,1,PRR3633,1,1,PRR3633,1,1,PRR3633,1,1
img88.jpg,PRM4848,PRM4848,1,1,PRM4848,1,1,PRM4848,1,1,PRM4848,1,1
img89.jpg,PHL5688,PHL5688,1,1,PHL5688,1,1,PHL55688,0,0.9333,PHL5688,1,1
img90.jpg,PLW7342,PLW7342,1,1,PLW7342,1,1,,0,0,PLW7342,1,1
img91.jpg,V6162,V6162,1,1,V6I62NTIN,0,0.5714,V6162FIESPSOOTLNE1700814762TEL043316152,0,0.2273,FIESM50KBHDM0TLINE17000147621EL04316182V6162,0,0.2041
img92.jpg,KBR9779,KBR9779,1,1,KBR9779,1,1,KBR9779,1,1,KBR9779,1,1
img93.jpg,PHA6258,PHA6258,1,1,PHA6258,1,1,PHA6258,1,1,PHA6258,1,1
img94.jpg,RAD9090,RAD9090,1,1,99RADS,0,0.4615,RAD9090,1,1,RAD97,0,0.6667
img95.jpg,VCH3295,VCH3295,1,1,VCH3295,1,1,VCH3295,1,1,VCH3295,1,1
img96.jpg,PQQ922,PQQ922,1,1,PQQ922,1,1,PQQ922,1,1,O06022,0,0.3333
img97.jpg,PQU6175,PQU6175,1,1,POU6175,0,0.8571,PQU66175,0,0.9333,PQU6175,1,1
img98.jpg,WEE6996,WEE6996,1,1,WEE6996,1,1,WEE6996,1,1,WEE6996,1,1
img99.jpg,KFW698,KFW698,1,1,KFW69B,0,0.8333,KFW698,1,1,KFW698,1,1
img100.jpg,BHR6449,BHR6449,1,1,BHR6449,1,1,6449R,0,0.6667,BHE6440,0,0.7143
